"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Javier Baez","Cubs","160","645","34","101","111","21","4.5 %","25.9 %",".264",".347",".290",".326",".554",".366","131","3.9","28.0","3.6","5.3","12979"
"Whit Merrifield","Royals","158","707","12","88","60","45","8.6 %","16.1 %",".134",".352",".304",".367",".438",".349","120","7.4","24.3","2.9","5.2","11281"
"Jed Lowrie","Athletics","157","680","23","78","99","0","11.5 %","18.8 %",".181",".304",".267",".353",".448",".347","122","0.2","18.4","7.1","4.9","4418"
"Jose Altuve","Astros","137","599","13","84","61","17","9.2 %","13.2 %",".135",".352",".316",".386",".451",".363","135","4.7","29.8","-1.9","4.9","5417"
"Scooter Gennett","Reds","154","638","23","86","92","4","6.6 %","19.6 %",".180",".358",".310",".357",".490",".362","125","0.1","19.9","3.9","4.5","10339"
"Ozzie Albies","Braves","158","684","24","105","72","14","5.3 %","17.0 %",".191",".285",".261",".305",".452",".324","100","5.6","6.0","9.0","3.8","16556"
"Joey Wendle","Rays","139","545","7","62","61","16","6.8 %","17.6 %",".136",".353",".300",".354",".435",".338","116","3.0","13.5","4.9","3.7","13853"
"Ben Zobrist","Cubs","139","520","9","67","58","3","10.6 %","11.5 %",".134",".331",".305",".378",".440",".355","123","0.5","14.9","4.0","3.6","7435"
"Robinson Cano","Mariners","80","348","10","44","50","0","9.2 %","13.5 %",".168",".329",".303",".374",".471",".364","136","1.1","16.0","1.1","2.9","3269"
"Kolten Wong","Cardinals","127","407","9","41","38","6","7.6 %","14.7 %",".139",".275",".249",".332",".388",".314","98","0.3","-0.8","15.0","2.8","12532"
"Jeff McNeil","Mets","63","248","3","35","19","7","5.6 %","9.7 %",".142",".359",".329",".381",".471",".368","137","5.5","16.7","1.9","2.7","15362"
"Asdrubal Cabrera","- - -","147","592","23","68","75","0","6.9 %","20.1 %",".196",".296",".262",".316",".458",".332","111","0.4","8.5","-1.4","2.7","4962"
"Rougned Odor","Rangers","129","535","18","76","63","12","8.0 %","23.7 %",".171",".305",".253",".326",".424",".325","97","0.1","-1.8","8.5","2.5","12282"
"Ketel Marte","Diamondbacks","153","580","14","68","59","6","9.3 %","13.6 %",".177",".282",".260",".332",".437",".330","104","-1.0","2.1","3.7","2.5","13613"
"Daniel Robertson","Rays","88","340","9","46","34","2","12.6 %","22.6 %",".152",".328",".262",".382",".415",".354","127","0.7","11.8","0.3","2.4","14145"
"Starlin Castro","Marlins","154","647","12","76","54","6","7.4 %","19.2 %",".121",".330",".278",".329",".400",".315","101","-1.7","-0.7","2.8","2.3","4579"
"Ian Kinsler","- - -","128","534","14","66","48","16","7.5 %","12.0 %",".140",".250",".240",".301",".380",".298","87","0.8","-7.3","11.6","2.3","6195"
"Cesar Hernandez","Phillies","161","708","15","91","60","19","13.4 %","21.9 %",".109",".315",".253",".356",".362",".320","100","0.1","0.2","-0.9","2.2","10556"
"Jason Kipnis","Indians","147","601","18","65","75","7","10.0 %","18.6 %",".158",".258",".230",".315",".389",".308","89","2.5","-5.0","5.3","2.1","9776"
"DJ LeMahieu","Rockies","128","581","15","90","62","6","6.4 %","14.1 %",".152",".298",".276",".321",".428",".322","86","-1.6","-11.5","12.9","2.0","9874"
"Yoan Moncada","White Sox","149","650","17","73","61","12","10.3 %","33.4 %",".164",".344",".235",".315",".400",".311","97","2.2","-0.3","-1.5","2.0","17232"
"Jonathan Villar","- - -","141","515","14","54","46","35","8.0 %","26.8 %",".124",".339",".260",".325",".384",".312","94","3.3","-0.5","3.6","2.0","10071"
"David Fletcher","Angels","80","307","1","35","25","3","4.9 %","11.1 %",".088",".307",".275",".316",".363",".297","89","2.0","-2.1","10.8","1.9","17992"
"Gleyber Torres","Yankees","123","484","24","54","77","6","8.7 %","25.2 %",".209",".321",".271",".340",".480",".349","120","-1.0","10.6","-7.9","1.9","16997"
"Adam Frazier","Pirates","113","352","10","52","35","1","8.2 %","15.1 %",".179",".305",".277",".342",".456",".343","116","0.2","7.2","0.0","1.9","15223"
"Daniel Descalso","Diamondbacks","138","423","13","54","57","0","15.1 %","26.0 %",".198",".300",".238",".353",".436",".341","111","2.2","8.2","-5.8","1.6","8392"
"Brock Holt","Red Sox","109","367","7","41","46","7","10.1 %","19.9 %",".134",".337",".277",".362",".411",".338","109","-4.8","-0.7","2.3","1.4","9345"
"Niko Goodrum","Tigers","131","492","16","55","53","12","8.5 %","26.8 %",".187",".312",".245",".315",".432",".322","103","2.7","4.2","-9.6","1.1","12092"
"Brandon Lowe","Rays","43","148","6","16","25","2","10.8 %","25.7 %",".217",".279",".233",".324",".450",".334","113","0.4","2.8","0.5","0.8","18882"
"Daniel Murphy","- - -","91","351","12","40","42","3","5.7 %","11.4 %",".155",".308",".299",".336",".454",".338","110","-1.4","3.0","-6.2","0.8","4316"
"Brian Dozier","- - -","151","632","21","81","72","12","11.1 %","20.4 %",".175",".240",".215",".305",".391",".304","90","-0.7","-8.6","-4.3","0.8","9810"
"Cory Spangenberg","Padres","116","329","7","35","25","6","7.6 %","32.8 %",".128",".344",".235",".298",".362",".290","83","2.4","-4.6","0.4","0.6","12294"
"Hernan Perez","Brewers","132","334","9","36","29","11","5.1 %","21.3 %",".133",".300",".253",".290",".386",".292","79","0.6","-7.8","3.1","0.6","5751"
"Jonathan Schoop","- - -","131","501","21","61","61","1","3.8 %","23.0 %",".184",".261",".233",".266",".416",".290","80","-2.3","-14.6","3.3","0.5","11265"
"Alen Hanson","Giants","110","310","8","36","39","7","2.9 %","22.9 %",".173",".303",".252",".274",".425",".296","86","2.7","-2.4","-2.4","0.5","12926"
"Ronald Torreyes","Yankees","41","102","0","9","7","0","2.0 %","15.7 %",".090",".333",".280",".294",".370",".287","78","0.5","-2.2","3.0","0.4","11400"
"Lourdes Gurriel Jr.","Blue Jays","65","263","11","30","35","1","3.4 %","22.4 %",".165",".326",".281",".309",".446",".322","103","-0.8","0.2","-4.9","0.4","19238"
"Howie Kendrick","Nationals","40","160","4","17","12","1","3.1 %","18.1 %",".171",".350",".303",".331",".474",".342","112","-2.3","0.1","-1.3","0.4","4229"
"Wilmer Difo","Nationals","148","456","7","55","42","10","8.6 %","18.0 %",".120",".269",".230",".298",".350",".280","71","0.7","-15.3","4.7","0.4","14320"
"Greg Garcia","Cardinals","114","208","3","15","15","3","9.6 %","17.8 %",".083",".259",".221",".309",".304",".276","72","1.0","-6.2","3.0","0.4","10951"
"Richard Urena","Blue Jays","40","108","1","10","6","2","6.5 %","29.6 %",".071",".424",".293",".340",".364",".311","95","-0.3","-0.9","0.6","0.3","16411"
"Josh Harrison","Pirates","97","374","8","41","37","3","4.8 %","18.2 %",".113",".286",".250",".293",".363",".285","78","2.4","-7.8","-0.8","0.3","8202"
"Franklin Barreto","Athletics","32","75","5","10","16","0","1.3 %","38.7 %",".260",".308",".233",".253",".493",".315","100","0.6","0.6","-0.6","0.2","15519"
"Tommy La Stella","Cubs","123","192","1","23","19","0","8.9 %","14.1 %",".065",".312",".266",".340",".331",".300","86","-0.5","-3.7","0.0","0.2","12371"
"Garrett Hampson","Rockies","24","48","0","3","4","2","14.6 %","25.0 %",".125",".393",".275",".396",".400",".355","108","0.7","1.1","-0.3","0.2","19262"
"Christian Arroyo","Rays","20","59","1","5","6","0","10.2 %","27.1 %",".132",".361",".264",".339",".396",".323","106","0.0","0.4","-0.3","0.2","16434"
"Erik Gonzalez","Indians","81","143","1","17","16","3","3.5 %","23.8 %",".110",".347",".265",".301",".375",".294","80","1.1","-2.3","-0.7","0.2","13369"
"Chase d'Arnaud","Giants","42","100","3","9","9","2","4.0 %","37.0 %",".151",".315",".215",".253",".366",".266","66","0.4","-3.7","1.9","0.1","6652"
"Ryan Schimpf","Angels","5","7","1","2","2","0","28.6 %","42.9 %",".600",".000",".200",".429",".800",".487","219","0.1","1.1","0.0","0.1","9953"
"Luis Urias","Padres","12","53","2","5","5","1","5.7 %","18.9 %",".146",".216",".208",".264",".354",".269","68","0.4","-1.7","1.3","0.1","16622"
"Dilson Herrera","Reds","53","97","5","11","11","0","8.2 %","40.2 %",".230",".256",".184",".268",".414",".295","81","0.7","-1.6","-0.3","0.1","14335"
"Joe Panik","Giants","102","392","4","38","24","4","6.6 %","7.7 %",".078",".265",".254",".307",".332",".280","75","-1.3","-13.0","1.5","0.1","11936"
"Chase Utley","Dodgers","87","187","1","18","14","3","9.1 %","18.2 %",".091",".262",".213",".305",".305",".272","71","1.7","-4.9","-0.3","0.1","1679"
"Andrew Romine","Mariners","75","131","0","15","2","1","5.3 %","29.8 %",".034",".313",".210",".260",".244",".228","44","1.7","-7.1","3.5","0.1","1159"
"Jon Berti","Blue Jays","4","15","0","2","2","1","0.0 %","26.7 %",".200",".364",".267",".267",".467",".306","92","0.2","0.0","0.1","0.1","12037"
"Harold Castro","Tigers","6","10","0","2","0","1","0.0 %","20.0 %",".000",".375",".300",".300",".300",".264","63","0.2","-0.3","0.5","0.1","14691"
"Neil Walker","Yankees","113","398","11","48","46","0","10.6 %","21.9 %",".135",".257",".219",".309",".354",".291","81","1.1","-8.2","-4.4","0.1","7539"
"Gregorio Petit","Twins","26","67","0","7","3","3","9.0 %","20.9 %",".033",".319",".246",".313",".279",".270","65","0.1","-2.7","1.0","0.1","3812"
"Dee Gordon","Mariners","141","588","4","62","36","30","1.5 %","13.6 %",".081",".304",".268",".288",".349",".277","77","3.5","-13.0","-5.9","0.1","8203"
"Max Moroff","Pirates","26","67","3","7","9","0","10.4 %","35.8 %",".169",".250",".186",".284",".356",".278","73","0.2","-2.0","0.3","0.0","14556"
"Brad Miller","- - -","75","254","7","21","29","0","8.7 %","32.3 %",".165",".350",".248",".311",".413",".312","97","-1.1","-2.2","-5.6","0.0","12775"
"Trevor Plouffe","Phillies","7","12","1","1","3","0","0.0 %","50.0 %",".250",".400",".250",".250",".500",".316","97","0.1","0.1","-0.3","0.0","7462"
"Sean Rodriguez","Pirates","66","173","5","21","19","1","12.7 %","34.7 %",".147",".235",".167",".277",".313",".264","64","1.4","-6.2","0.8","0.0","6589"
"Edmundo Sosa","Cardinals","3","3","0","1","0","0","33.3 %","33.3 %",".000",".000",".000",".333",".000",".230","41","0.0","-0.2","0.1","0.0","17022"
"Nolan Fontana","Angels","8","12","1","1","1","0","8.3 %","50.0 %",".273",".000",".091",".167",".364",".227","41","0.1","-0.8","0.2","0.0","13267"
"Adrian Sanchez","Nationals","28","59","0","8","3","0","1.7 %","13.6 %",".069",".320",".276",".288",".345",".275","67","1.1","-1.3","-0.8","0.0","11338"
"Ildemaro Vargas","Diamondbacks","14","20","1","2","4","1","5.0 %","20.0 %",".158",".214",".211",".250",".368",".268","63","0.1","-0.8","-0.1","0.0","13324"
"Nick Franklin","Brewers","1","2","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.5","0.1","0.0","10166"
"Miguel Gomez","Giants","9","15","0","3","1","0","0.0 %","33.3 %",".000",".400",".267",".267",".267",".235","45","-0.7","-1.7","0.8","0.0","17075"
"Abiatal Avelino","Giants","6","11","0","1","0","0","0.0 %","27.3 %",".000",".375",".273",".273",".273",".240","49","0.2","-0.5","-0.4","-0.1","15496"
"Christopher Bostick","- - -","15","18","0","0","2","0","11.1 %","38.9 %",".063",".333",".188",".278",".250",".244","54","-0.1","-1.1","0.0","-0.1","13718"
"Mike Freeman","Cubs","1","1","0","0","0","0","0.0 %","0.0 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.3","-0.4","-0.1","11241"
"Corban Joseph","Orioles","14","19","0","1","3","0","5.3 %","26.3 %",".056",".308",".222",".263",".278",".241","47","0.0","-1.2","-0.2","-0.1","5503"
"Alex Blandino","Reds","69","147","1","14","8","0","8.8 %","27.9 %",".055",".337",".234",".324",".289",".279","70","-0.3","-5.7","0.2","-0.1","16271"
"Adam Rosales","Indians","13","21","1","4","2","0","4.8 %","23.8 %",".211",".231",".211",".250",".421",".286","74","0.1","-0.5","-1.0","-0.1","9682"
"Gordon Beckham","Mariners","22","50","0","3","1","1","8.0 %","22.0 %",".023",".242",".182",".250",".205",".212","32","0.4","-3.7","1.1","-0.1","9015"
"Dustin Pedroia","Red Sox","3","13","0","1","0","0","15.4 %","7.7 %",".000",".100",".091",".231",".091",".174","-3","0.0","-1.6","0.2","-0.1","8370"
"Blake Trahan","Reds","11","14","0","2","0","0","0.0 %","28.6 %",".000",".300",".214",".214",".214",".188","10","-0.2","-1.8","0.4","-0.1","17588"
"Nate Orf","Brewers","15","25","1","4","1","1","12.0 %","32.0 %",".143",".083",".095",".240",".238",".228","37","0.0","-1.9","0.2","-0.1","15407"
"Breyvic Valera","- - -","32","75","0","8","8","1","9.3 %","17.3 %",".031",".283",".234",".301",".266",".256","59","0.6","-3.1","-0.4","-0.1","12758"
"Dixon Machado","Tigers","67","233","1","20","21","1","6.0 %","17.6 %",".084",".249",".206",".263",".290",".244","49","1.4","-12.7","3.9","-0.1","11472"
"Engelb Vielma","Orioles","6","8","0","1","0","0","12.5 %","50.0 %",".000",".333",".143",".250",".143",".196","16","0.0","-0.8","-0.6","-0.1","15481"
"Sherman Johnson","Angels","10","11","0","0","0","0","0.0 %","36.4 %",".000",".000",".000",".091",".000",".065","-69","0.0","-2.2","0.7","-0.1","13906"
"Luis Sardinas","Orioles","8","20","1","2","1","0","10.0 %","25.0 %",".167",".083",".111",".200",".278",".214","29","-0.1","-1.8","-0.6","-0.2","13153"
"Phillip Evans","Mets","15","23","0","1","1","1","8.7 %","34.8 %",".000",".231",".143",".217",".143",".175","8","-0.1","-2.7","0.2","-0.2","12950"
"Hanser Alberto","Rangers","13","30","0","0","0","0","6.7 %","13.3 %",".074",".217",".185",".241",".259",".225","29","-0.3","-2.9","0.0","-0.2","11902"
"Logan Forsythe","- - -","120","416","2","37","27","3","9.9 %","20.0 %",".059",".293",".232",".313",".291",".274","70","1.1","-13.9","-1.4","-0.2","7185"
"Ryan Goins","Royals","41","120","0","10","6","0","3.3 %","24.2 %",".087",".302",".226",".252",".313",".246","49","-1.0","-8.2","2.2","-0.2","9807"
"Ty Kelly","Mets","9","12","0","1","0","0","8.3 %","16.7 %",".000",".111",".091",".167",".091",".131","-21","-0.3","-2.1","-0.4","-0.2","7740"
"Luis Guillorme","Mets","35","74","0","4","5","1","9.5 %","4.1 %",".030",".219",".209",".284",".239",".242","53","0.7","-3.6","-1.0","-0.2","16451"
"Brandon Phillips","Red Sox","9","27","1","4","2","0","14.8 %","25.9 %",".130",".133",".130",".259",".261",".243","44","-0.3","-2.1","-1.2","-0.3","791"
"Ramon Torres","Royals","9","29","0","4","1","0","3.4 %","10.3 %",".036",".200",".179",".207",".214",".188","10","0.0","-3.1","-0.5","-0.3","14113"
"Steve Wilkerson","Orioles","16","49","0","2","3","1","6.1 %","32.7 %",".065",".267",".174",".224",".239",".208","25","-0.6","-5.0","0.5","-0.3","16041"
"Kaleb Cowart","Angels","47","124","1","7","10","1","8.1 %","35.5 %",".107",".206",".134",".210",".241",".203","25","0.1","-11.0","3.8","-0.3","11494"
"Gift Ngoepe","Blue Jays","13","19","0","2","0","0","5.3 %","63.2 %",".000",".167",".056",".105",".056",".083","-60","0.2","-3.4","-0.5","-0.3","10340"
"Eduardo Nunez","Red Sox","127","502","10","56","44","7","3.2 %","13.7 %",".123",".290",".265",".289",".388",".292","78","-6.2","-19.6","-0.3","-0.3","6848"
"Jesmuel Valentin","Phillies","46","89","1","8","6","0","9.0 %","27.0 %",".127",".236",".177",".258",".304",".250","53","0.5","-4.6","-1.6","-0.4","14548"
"Kevin Kramer","Pirates","21","40","0","5","4","0","5.0 %","50.0 %",".000",".278",".135",".175",".135",".144","-16","0.8","-4.9","0.0","-0.4","17689"
"Dawel Lugo","Tigers","27","101","1","10","8","0","6.9 %","19.8 %",".096",".260",".213",".267",".309",".255","57","-0.3","-5.5","-1.5","-0.4","14713"
"Tyler Wade","Yankees","36","70","1","8","5","1","5.7 %","32.9 %",".106",".238",".167",".214",".273",".215","29","0.8","-5.2","-0.9","-0.4","15730"
"Kelby Tomlinson","Giants","63","152","0","9","10","0","5.9 %","23.0 %",".057",".276",".207",".265",".264",".239","48","-0.7","-10.4","0.7","-0.5","13005"
"Daniel Castro","Rockies","18","47","1","2","6","0","2.1 %","14.9 %",".087",".184",".174",".191",".261",".186","-5","-0.7","-6.8","0.2","-0.5","15450"
"Brandon Drury","- - -","26","86","1","5","10","0","8.1 %","23.3 %",".091",".214",".169",".256",".260",".236","44","-1.7","-7.6","-0.5","-0.5","11615"
"Devon Travis","Blue Jays","103","378","11","41","44","3","4.2 %","16.9 %",".148",".255",".232",".275",".381",".283","77","-0.1","-10.7","-7.1","-0.5","13862"
"Carlos Asuaje","Padres","79","218","2","15","19","1","11.0 %","21.1 %",".085",".243",".196",".286",".280",".255","59","-0.5","-11.5","-2.3","-0.7","15197"
"Jose Pirela","Padres","146","473","5","54","32","6","6.3 %","18.8 %",".096",".301",".249",".300",".345",".283","78","-4.6","-17.5","-5.0","-0.8","5485"
"Eric Sogard","Brewers","55","113","0","7","2","3","10.6 %","20.4 %",".031",".173",".134",".241",".165",".194","14","1.2","-10.6","-0.6","-0.8","7927"
"Kevin Newman","Pirates","31","97","0","7","6","0","4.1 %","23.7 %",".022",".275",".209",".247",".231",".211","28","-1.2","-9.6","-1.1","-0.8","17696"
"Ronny Rodriguez","Tigers","62","206","5","17","20","2","4.9 %","20.4 %",".115",".253",".220",".256",".335",".257","58","-0.8","-11.1","-5.2","-1.0","11875"
"Pat Valaika","Rockies","68","133","2","8","5","0","6.8 %","22.6 %",".090",".189",".156",".214",".246",".207","9","-0.8","-15.6","-0.7","-1.2","14885"
